id,name,neighborhood_cleansed,latitude,longitude,host_listings_count,property_type,room_type,accommodates,bedrooms,price,availability_365,review_scores_rating
6400,The Studio Milan,ITALIA,45.44119,9.17813,1,Private room in rental unit,Private room,1,3.0,$100.00,358,4.89
23986,""" Characteristic Milanese flat""",NAVIGLIO GRANDE,45.44806,9.17373,1,Entire rental unit,Entire home/apt,4,1.0,$150.00,363,4.57
392891,Exclusive charming liberty APT,BUENOS AIRES,45.470909,9.216168,2,Entire condo,Entire home/apt,4,1.0,$300.00,358,5.0
256390,"QUIET, ELEGANT, CENTRAL, PERFECT FOR FAIR",BUENOS AIRES,45.47104,9.21638,2,Entire condo,Entire home/apt,2,1.0,$135.00,88,4.88
393671,MILANO appartamento in zona centro - Monte Nero 48,XXII MARZO,45.4569,9.20547,1,Entire rental unit,Entire home/apt,2,1.0,$125.00,173,5.0
37256,COZY FULLY FURNISHED PRIVATE STUDIO CITY CENTER,BUENOS AIRES,45.46884,9.20777,2,Private room in rental unit,Private room,1,1.0,$55.00,0,4.9
394443,Ancient house with modern design,MOLISE,45.45281,9.21758,2,Entire rental unit,Entire home/apt,4,3.0,$150.00,184,4.94
395037,Stunning Flat in Central Milan | Close to subway,BUENOS AIRES,45.4801,9.21057,1,Entire rental unit,Entire home/apt,4,1.0,$109.00,0,4.75
256399,APARTMENT - VIA RIPAMONTI - MILAN,VIGENTINO,45.44549,9.19737,2,Entire condo,Entire home/apt,4,2.0,$60.00,219,4.57
40470,Giacinto Cosy & clean flat near MM1,VIALE CORSICA,45.52023,9.22747,2,Entire rental unit,Entire home/apt,4,2.0,$80.00,327,4.65
287030,AtticCozy-With Rooftop Terrace,BUENOS AIRES,45.4828,9.2143,2,Entire rental unit,Entire home/apt,4,1.0,$93.00,203,4.83
287066,Digital Nomads Home for monthly staying.,BICOCCA,45.51424,9.21428,1,Entire condo,Entire home/apt,1,1.0,$55.00,78,5.0
42732,Darsena Design district BOOKABLE MIN 3 DAYS MAX 15,VIA SAN VITTORE,45.45814,9.17654,1,Entire condo,Entire home/apt,4,1.0,$220.00,359,4.23
297007,Beautiful Very Clean and cozy comfortable bedroom!,REPUBBLICA,45.48445,9.18339,1,Private room in rental unit,Private room,1,1.0,$55.00,98,4.44
396939,"Nice Room Close Stazione Centrale,1 or 2 Guests !!",CERMENTATE,45.48879,9.20251,5,Private room in rental unit,Private room,2,1.0,$41.00,52,4.81
46536,Nico & Cinzia's Pink Suite!,VIALE CORSICA,45.52276,9.22478,1,Entire rental unit,Entire home/apt,5,2.0,$90.00,163,4.59
396940,CHARMING ROOM&TERRACE for 1/2LADIES,WASHINGTON,45.46142,9.16123,5,Private room in rental unit,Private room,2,1.0,$80.00,55,4.84
300095,All you need in a small room,MONTE ROSA,45.470833,9.154911,1,Entire serviced apartment,Entire home/apt,2,,$128.00,355,5.0
55055,BEAUTIFUL MODERN ATTIC CENTER OF MI,BUENOS AIRES,45.48096,9.21686,1,Entire rental unit,Entire home/apt,3,2.0,$145.00,0,5.0
59226,Near Piazza Gae Aulenti silent e reserved flat,CERMENTATE,45.48201,9.19809,1,Entire rental unit,Entire home/apt,2,1.0,$180.00,177,4.0
300780,Il Giardino Privato di Milano,NAVIGLIO GRANDE,45.491676330566406,9.15281581878662,7,Entire condo,Entire home/apt,3,1.0,$90.00,239,4.29
