Zona_Descr,Descr_Tipologia,Stato,Compr_min,Compr_max,Loc_min,Loc_max,Semestre,Anno
CENTRO STORICO -DUOMO,Abitazioni civili,OTTIMO,9000,12400,27,36,1,2021
SANBABILA,Abitazioni civili,OTTIMO,9000,12400,27,36,1,2021
MONTENAPOLEONE,Abitazioni civili,OTTIMO,9000,12400,27,36,1,2021
MISSORI,Abitazioni civili,OTTIMO,9000,12400,27,36,1,2021
CAIROLI,Abitazioni civili,OTTIMO,9000,12400,27,36,1,2021
CENTRO STORICO -DUOMO,Abitazioni civili,NORMALE,7200,8900,22,27,1,2021
SANBABILA,Abitazioni civili,NORMALE,7200,8900,22,27,1,2021
MONTENAPOLEONE,Abitazioni civili,NORMALE,7200,8900,22,27,1,2021
MISSORI,Abitazioni civili,NORMALE,7200,8900,22,27,1,2021
CAIROLI,Abitazioni civili,NORMALE,7200,8900,22,27,1,2021
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,OTTIMO,7400,8800,23,28,1,2021
SANBABILA,Abitazioni di tipo economico,OTTIMO,7400,8800,23,28,1,2021
MONTENAPOLEONE,Abitazioni di tipo economico,OTTIMO,7400,8800,23,28,1,2021
MISSORI,Abitazioni di tipo economico,OTTIMO,7400,8800,23,28,1,2021
CAIROLI,Abitazioni di tipo economico,OTTIMO,7400,8800,23,28,1,2021
CENTRO STORICO -DUOMO,Abitazioni di tipo economico,NORMALE,6400,7400,"17,5","22,5",1,2021
SANBABILA,Abitazioni di tipo economico,NORMALE,6400,7400,"17,5","22,5",1,2021
MONTENAPOLEONE,Abitazioni di tipo economico,NORMALE,6400,7400,"17,5","22,5",1,2021
MISSORI,Abitazioni di tipo economico,NORMALE,6400,7400,"17,5","22,5",1,2021
CAIROLI,Abitazioni di tipo economico,NORMALE,6400,7400,"17,5","22,5",1,2021
CENTRO STORICO -DUOMO,Abitazioni signorili,OTTIMO,10800,14300,"35,5",46,1,2021
SANBABILA,Abitazioni signorili,OTTIMO,10800,14300,"35,5",46,1,2021
MONTENAPOLEONE,Abitazioni signorili,OTTIMO,10800,14300,"35,5",46,1,2021
MISSORI,Abitazioni signorili,OTTIMO,10800,14300,"35,5",46,1,2021
CAIROLI,Abitazioni signorili,OTTIMO,10800,14300,"35,5",46,1,2021
