Neighborhood,Type,Status,Min_Sale_Price,Max_Sale_Price,Min_Rent_Price,Max_Rent_Price,Semester,Year,Avg_Sale_Price,Avg_Rent_Price
DUOMO,Abitazioni civili,OTTIMO,8800,11800,30.0,36.0,1,2017,10300.0,33.0
SANBABILA,Abitazioni civili,OTTIMO,8800,11800,30.0,36.0,1,2017,10300.0,33.0
MONTENAPOLEONE,Abitazioni civili,OTTIMO,8800,11800,30.0,36.0,1,2017,10300.0,33.0
MISSORI,Abitazioni civili,OTTIMO,8800,11800,30.0,36.0,1,2017,10300.0,33.0
CAIROLI,Abitazioni civili,OTTIMO,8800,11800,30.0,36.0,1,2017,10300.0,33.0
DUOMO,Abitazioni civili,NORMALE,7500,8800,24.0,30.0,1,2017,8150.0,27.0
SANBABILA,Abitazioni civili,NORMALE,7500,8800,24.0,30.0,1,2017,8150.0,27.0
MONTENAPOLEONE,Abitazioni civili,NORMALE,7500,8800,24.0,30.0,1,2017,8150.0,27.0
MISSORI,Abitazioni civili,NORMALE,7500,8800,24.0,30.0,1,2017,8150.0,27.0
CAIROLI,Abitazioni civili,NORMALE,7500,8800,24.0,30.0,1,2017,8150.0,27.0
DUOMO,Abitazioni di tipo economico,OTTIMO,7700,8700,24.0,30.0,1,2017,8200.0,27.0
SANBABILA,Abitazioni di tipo economico,OTTIMO,7700,8700,24.0,30.0,1,2017,8200.0,27.0
MONTENAPOLEONE,Abitazioni di tipo economico,OTTIMO,7700,8700,24.0,30.0,1,2017,8200.0,27.0
MISSORI,Abitazioni di tipo economico,OTTIMO,7700,8700,24.0,30.0,1,2017,8200.0,27.0
CAIROLI,Abitazioni di tipo economico,OTTIMO,7700,8700,24.0,30.0,1,2017,8200.0,27.0
DUOMO,Abitazioni di tipo economico,NORMALE,6400,7700,18.5,22.0,1,2017,7050.0,20.25
SANBABILA,Abitazioni di tipo economico,NORMALE,6400,7700,18.5,22.0,1,2017,7050.0,20.25
MONTENAPOLEONE,Abitazioni di tipo economico,NORMALE,6400,7700,18.5,22.0,1,2017,7050.0,20.25
MISSORI,Abitazioni di tipo economico,NORMALE,6400,7700,18.5,22.0,1,2017,7050.0,20.25
CAIROLI,Abitazioni di tipo economico,NORMALE,6400,7700,18.5,22.0,1,2017,7050.0,20.25
DUOMO,Abitazioni signorili,OTTIMO,11600,13600,40.0,46.0,1,2017,12600.0,43.0
SANBABILA,Abitazioni signorili,OTTIMO,11600,13600,40.0,46.0,1,2017,12600.0,43.0
MONTENAPOLEONE,Abitazioni signorili,OTTIMO,11600,13600,40.0,46.0,1,2017,12600.0,43.0
MISSORI,Abitazioni signorili,OTTIMO,11600,13600,40.0,46.0,1,2017,12600.0,43.0
CAIROLI,Abitazioni signorili,OTTIMO,11600,13600,40.0,46.0,1,2017,12600.0,43.0
DUOMO,Box,NORMALE,4700,6600,14.0,20.0,1,2017,5650.0,17.0
SANBABILA,Box,NORMALE,4700,6600,14.0,20.0,1,2017,5650.0,17.0
MONTENAPOLEONE,Box,NORMALE,4700,6600,14.0,20.0,1,2017,5650.0,17.0
MISSORI,Box,NORMALE,4700,6600,14.0,20.0,1,2017,5650.0,17.0
CAIROLI,Box,NORMALE,4700,6600,14.0,20.0,1,2017,5650.0,17.0
DUOMO,Magazzini,NORMALE,2550,3300,14.0,18.0,1,2017,2925.0,16.0
SANBABILA,Magazzini,NORMALE,2550,3300,14.0,18.0,1,2017,2925.0,16.0
MONTENAPOLEONE,Magazzini,NORMALE,2550,3300,14.0,18.0,1,2017,2925.0,16.0
MISSORI,Magazzini,NORMALE,2550,3300,14.0,18.0,1,2017,2925.0,16.0
CAIROLI,Magazzini,NORMALE,2550,3300,14.0,18.0,1,2017,2925.0,16.0
DUOMO,Negozi,OTTIMO,14800,21300,80.0,119.0,1,2017,18050.0,99.5
SANBABILA,Negozi,OTTIMO,14800,21300,80.0,119.0,1,2017,18050.0,99.5
MONTENAPOLEONE,Negozi,OTTIMO,14800,21300,80.0,119.0,1,2017,18050.0,99.5
MISSORI,Negozi,OTTIMO,14800,21300,80.0,119.0,1,2017,18050.0,99.5
CAIROLI,Negozi,OTTIMO,14800,21300,80.0,119.0,1,2017,18050.0,99.5
DUOMO,Negozi,NORMALE,9400,12600,41.0,56.0,1,2017,11000.0,48.5
SANBABILA,Negozi,NORMALE,9400,12600,41.0,56.0,1,2017,11000.0,48.5
MONTENAPOLEONE,Negozi,NORMALE,9400,12600,41.0,56.0,1,2017,11000.0,48.5
MISSORI,Negozi,NORMALE,9400,12600,41.0,56.0,1,2017,11000.0,48.5
CAIROLI,Negozi,NORMALE,9400,12600,41.0,56.0,1,2017,11000.0,48.5
DUOMO,Uffici,OTTIMO,6300,8300,24.0,34.8,1,2017,7300.0,29.4
SANBABILA,Uffici,OTTIMO,6300,8300,24.0,34.8,1,2017,7300.0,29.4
MONTENAPOLEONE,Uffici,OTTIMO,6300,8300,24.0,34.8,1,2017,7300.0,29.4
MISSORI,Uffici,OTTIMO,6300,8300,24.0,34.8,1,2017,7300.0,29.4
CAIROLI,Uffici,OTTIMO,6300,8300,24.0,34.8,1,2017,7300.0,29.4
DUOMO,Uffici strutturati,OTTIMO,6700,9000,29.0,41.0,1,2017,7850.0,35.0
SANBABILA,Uffici strutturati,OTTIMO,6700,9000,29.0,41.0,1,2017,7850.0,35.0
MONTENAPOLEONE,Uffici strutturati,OTTIMO,6700,9000,29.0,41.0,1,2017,7850.0,35.0
MISSORI,Uffici strutturati,OTTIMO,6700,9000,29.0,41.0,1,2017,7850.0,35.0
CAIROLI,Uffici strutturati,OTTIMO,6700,9000,29.0,41.0,1,2017,7850.0,35.0
DUOMO,Laboratori,NORMALE,2800,3300,15.0,20.5,1,2017,3050.0,17.75
SANBABILA,Laboratori,NORMALE,2800,3300,15.0,20.5,1,2017,3050.0,17.75
MONTENAPOLEONE,Laboratori,NORMALE,2800,3300,15.0,20.5,1,2017,3050.0,17.75
MISSORI,Laboratori,NORMALE,2800,3300,15.0,20.5,1,2017,3050.0,17.75
CAIROLI,Laboratori,NORMALE,2800,3300,15.0,20.5,1,2017,3050.0,17.75
DUOMO,Abitazioni civili,NORMALE,7400,8800,23.8,29.8,2,2017,8100.0,26.8
SANBABILA,Abitazioni civili,NORMALE,7400,8800,23.8,29.8,2,2017,8100.0,26.8
MONTENAPOLEONE,Abitazioni civili,NORMALE,7400,8800,23.8,29.8,2,2017,8100.0,26.8
MISSORI,Abitazioni civili,NORMALE,7400,8800,23.8,29.8,2,2017,8100.0,26.8
CAIROLI,Abitazioni civili,NORMALE,7400,8800,23.8,29.8,2,2017,8100.0,26.8
DUOMO,Abitazioni civili,OTTIMO,8900,11900,30.2,36.5,2,2017,10400.0,33.35
SANBABILA,Abitazioni civili,OTTIMO,8900,11900,30.2,36.5,2,2017,10400.0,33.35
MONTENAPOLEONE,Abitazioni civili,OTTIMO,8900,11900,30.2,36.5,2,2017,10400.0,33.35
MISSORI,Abitazioni civili,OTTIMO,8900,11900,30.2,36.5,2,2017,10400.0,33.35
CAIROLI,Abitazioni civili,OTTIMO,8900,11900,30.2,36.5,2,2017,10400.0,33.35
DUOMO,Abitazioni di tipo economico,NORMALE,6400,7700,18.5,22.5,2,2017,7050.0,20.5
SANBABILA,Abitazioni di tipo economico,NORMALE,6400,7700,18.5,22.5,2,2017,7050.0,20.5
