Quotazioni Immobiliari : Informazioni di Zona OMI - Semestre 2012/1 - elaborazione del 07-APR-23
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona_Descr;Zona;LinkZona;Cod_tip_prev;Descr_tip_prev;Stato_prev;Microzona;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'CADORNA, MONTI, BOCCACCIO -';B01;MI00000290;20;Abitazioni civili;N;5;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'CASTELLO, MELZI D`ERIL, SARPI -';B02;MI00000291;20;Abitazioni civili;N;6;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'TURATI, MOSCOVA, REPUBBLICA -';B03;MI00000292;20;Abitazioni civili;N;7;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'VENEZIA, MAJNO, MONFORTE -';B04;MI00000293;20;Abitazioni civili;N;8;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'MASCAGNI, PORTA VITTORIA, PORTA ROMANA -';B05;MI00000294;20;Abitazioni civili;N;9;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'PORTA TICINESE, PORTA GENOVA, MAGENTA -';B06;MI00000295;20;Abitazioni civili;N;10;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'A1 - SCALA, MANZONI, VITTORIO EMANUELE, SAN BABILA -';B11;MI00003227;20;Abitazioni civili;N;1;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'A2 - BRERA, DUOMO, CORDUSIO, TORINO -';B12;MI00003228;20;Abitazioni civili;N;2;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'A3 - MISSORI, ITALIA, VETRA, S. EUFEMIA -';B13;MI00003232;20;Abitazioni civili;N;3;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;'A4 - DIAZ, FONTANA, EUROPA -';B14;MI00003237;20;Abitazioni civili;N;4;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'CENISIO, PROCACCINI, FIRENZE -';C01;MI00000296;20;Abitazioni civili;N;11;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'FIERA, GIULIO CESARE, SEMPIONE -';C02;MI00000297;20;Abitazioni civili;N;12;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'AMENDOLA, MONTE ROSA, BUONARROTI -';C03;MI00000298;20;Abitazioni civili;N;13;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'PAGANO, MONTI, WAGNER -';C04;MI00000299;20;Abitazioni civili;N;14;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'PIEMONTE, WASHIGTON, CIMAROSA -';C05;MI00000300;20;Abitazioni civili;N;15;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'SOLARI, NAPOLI, SAVONA -';C06;MI00000301;20;Abitazioni civili;N;16;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'NAVIGLIO GRANDE, ARGELATI, SAN GOTTARDO -';C07;MI00000302;20;Abitazioni civili;N;17;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'TABACCHI, SARFATTI, CREMA -';C08;MI00000303;20;Abitazioni civili;N;18;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'LIBIA, ,XXII MARZO, INDIPENDENZA -';C09;MI00000304;20;Abitazioni civili;N;19;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'REGINA GIOVANNA, PISACANE, CASTEL MORRONE -';C10;MI00000305;20;Abitazioni civili;N;20;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'ABRUZZI, EUSTACHI, PLINIO -';C11;MI00000306;20;Abitazioni civili;N;21;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;C;'STAZIONE CENTRALE, GIOIA, ZARA -';C12;MI00000307;20;Abitazioni civili;N;22;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'MUSOCCO, VARESINA, CERTOSA -';D01;MI00000308;20;Abitazioni civili;N;23;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'BOVISA, BAUSAN, IMBONATI -';D02;MI00000309;20;Abitazioni civili;N;24;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'LARGO BOCCIONI, ALDINI, LOPEZ -';D03;MI00000310;20;Abitazioni civili;N;25;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'BOVISASCA, AFFORI, P. ROSSI -';D04;MI00000311;20;Abitazioni civili;N;26;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'NIGUARDA, ORNATO -';D05;MI00000312;20;Abitazioni civili;N;27;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'FULVIO TESTI, BICOCCA, CA` GRANDA -';D06;MI00000313;20;Abitazioni civili;N;28;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'MONZA, PRECOTTO, GORLA -';D07;MI00000314;20;Abitazioni civili;N;29;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'ZARA, ISTRIA, MURAT -';D08;MI00000315;20;Abitazioni civili;N;30;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'LORETO, TURRO, PADOVA -';D09;MI00000316;20;Abitazioni civili;N;31;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'P.LAMBRO, FELTRE, UDINE -';D10;MI00000317;20;Abitazioni civili;N;32;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'ASPROMONTE, PORPORA, TEODOSIO -';D11;MI00000318;20;Abitazioni civili;N;33;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'LEONARDO DA VINCI, GORINI -';D12;MI00000319;20;Abitazioni civili;N;34;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'LAMBRATE, RUBATTINO, FOLLI -';D13;MI00000320;20;Abitazioni civili;N;35;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'ARGONNE, VIALE CORSICA -';D14;MI00000321;20;Abitazioni civili;N;36;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'FORLANINI, MECENATE, ROGOREDO -';D15;MI00000322;20;Abitazioni civili;N;37;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'ORTOMERCATO, MOLISE, PIRANESI -';D16;MI00000323;20;Abitazioni civili;N;38;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'BONCOMPAGNI, TOFFETTI, BACCHIGLIONE -';D17;MI00000324;20;Abitazioni civili;N;39;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'OMERO, GABRIELE ROSA, BRENTA -';D18;MI00000325;20;Abitazioni civili;N;40;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'RONCHETTO, CHIARAVALLE, RIPAMONTI -';D19;MI00000326;20;Abitazioni civili;N;41;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'MONTEGANI, CERMENTATE, VIGENTINO -';D20;MI00000327;20;Abitazioni civili;N;42;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'BARONA, FAMAGOSTA, FAENZA';D21;MI00000328;20;Abitazioni civili;N;43;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'SAN CRISTOFORO, RONCHETTO, LUDOVICO IL MORO -';D22;MI00000329;20;Abitazioni civili;N;44;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'GIAMBELLINO, TIRANA, FRATTINI -';D23;MI00000330;20;Abitazioni civili;N;45;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'SIENA, TRIPOLI, BRASILIA -';D24;MI00000331;20;Abitazioni civili;N;46;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'LORENTEGGIO, INGANNI, BISCEGLIE -';D25;MI00000332;20;Abitazioni civili;N;47;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'NOVARA, SAN CARLO, AMATI -';D26;MI00000333;20;Abitazioni civili;N;48;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'SEGESTA, CAPECELATRO, ARETUSA -';D27;MI00000334;20;Abitazioni civili;N;49;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'IPPODROMO, CAPRILLI, MONTE STELLA -';D28;MI00000335;20;Abitazioni civili;N;50;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;D;'CAGNOLA, ACHILLE, PAPA, TIRO SEGNO -';D29;MI00000336;20;Abitazioni civili;N;51;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;E;'BAGGIO, Q. ROMANO, Q. CAGNINO -';E01;MI00000337;20;Abitazioni civili;N;52;
