Quotazioni Immobiliari : Valori di Mercato - Semestre 2013/1 - elaborazione del 07-APR-23
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;20;Abitazioni civili;OTTIMO; ;5700;7800;L;15,2;21;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;20;Abitazioni civili;NORMALE;P;4200;5700;L;13,5;15;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;20;Abitazioni civili;SCADENTE; ;3700;4100;L;10;13;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;21;Abitazioni di tipo economico;OTTIMO; ;5200;6600;L;15,5;21;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;21;Abitazioni di tipo economico;NORMALE;P;4000;5200;L;12;17;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;21;Abitazioni di tipo economico;SCADENTE; ;3400;3900;L;11;14,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;13;Box;NORMALE;P;3000;3900;L;14;18;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;1;Ville e Villini;SCADENTE; ;4000;5000;L;12,5;15,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;1;Ville e Villini;OTTIMO; ;6000;8000;L;16,5;24;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;1;Ville e Villini;NORMALE;P;4500;6000;L;15,5;17,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;9;Magazzini;NORMALE;P;1000;1200;L;4,8;6,6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;5;Negozi;NORMALE;P;4000;5300;L;16,5;23,8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;6;Uffici;OTTIMO;P;3500;4500;L;17;21;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;18;Uffici strutturati;OTTIMO;P;4000;5000;L;18;23,8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B01;MI00000290;10;Laboratori;NORMALE;P;1800;2100;L;10,8;13,2;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;20;Abitazioni civili;SCADENTE; ;3200;4200;L;11;14;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;20;Abitazioni civili;OTTIMO; ;5500;7700;L;18,2;25,2;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;20;Abitazioni civili;NORMALE;P;4300;5400;L;14,2;18,2;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;21;Abitazioni di tipo economico;OTTIMO; ;4000;5100;L;13,5;18;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;21;Abitazioni di tipo economico;NORMALE;P;3200;4000;L;11,5;13,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;21;Abitazioni di tipo economico;SCADENTE; ;2400;3100;L;9;11,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;13;Box;NORMALE;P;2500;3600;L;9;13;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;9;Magazzini;NORMALE;P;900;1100;L;4,8;6,6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;5;Negozi;NORMALE;P;3400;4900;L;14,2;21;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;6;Uffici;OTTIMO;P;3400;4500;L;14,5;18;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;18;Uffici strutturati;OTTIMO;P;3800;5100;L;18,7;26;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;10;Laboratori;NORMALE;P;1500;1700;L;8,2;10;L;
