Quotazioni Immobiliari : Valori di Mercato - Semestre 2014/1 - elaborazione del 07-APR-23
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;20;Abitazioni civili;NORMALE;P;4100;5400;L;14;18;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;20;Abitazioni civili;OTTIMO; ;5400;7800;L;18;25,2;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;21;Abitazioni di tipo economico;OTTIMO; ;3800;5100;L;13;17,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;21;Abitazioni di tipo economico;NORMALE;P;3000;3800;L;11;13;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;19;Abitazioni signorili;OTTIMO;P;8000;11500;L;25;30;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;13;Box;NORMALE;P;2500;3600;L;9;13;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;9;Magazzini;NORMALE;P;900;1100;L;4,8;6,6;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;5;Negozi;NORMALE;P;3500;4800;L;14,2;21;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;6;Uffici;OTTIMO;P;3400;4400;L;14,5;18,2;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;18;Uffici strutturati;OTTIMO;P;3800;5000;L;18,5;25,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B02;MI00000291;10;Laboratori;NORMALE;P;1500;1800;L;8;9,8;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;20;Abitazioni civili;OTTIMO; ;5900;8300;L;20;27;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;20;Abitazioni civili;NORMALE;P;4300;5900;L;16;20;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;21;Abitazioni di tipo economico;NORMALE; ;3400;4200;L;12,5;16,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;21;Abitazioni di tipo economico;OTTIMO;P;4200;5400;L;16,5;20;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;13;Box;NORMALE;P;2600;3700;L;8,5;12,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;9;Magazzini;NORMALE;P;1200;1400;L;6;7;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;5;Negozi;NORMALE;P;3700;5200;L;16;23;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;6;Uffici;OTTIMO;P;3900;5400;L;17,5;23,5;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;18;Uffici strutturati;OTTIMO;P;4000;5600;L;20;28;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B03;MI00000292;10;Laboratori;NORMALE;P;1800;2200;L;10,2;12;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;20;Abitazioni civili;OTTIMO; ;6500;8000;L;20;25;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;20;Abitazioni civili;NORMALE;P;5000;6500;L;15;19;L;
NORD-OVEST;LOMBARDIA;MI;3015146;C1AA; ;F205;MILANO;B;B04;MI00000293;21;Abitazioni di tipo economico;NORMALE;P;4500;5000;L;14;16;L;
